Key,LOC,NOF,NOP,Entropy
AMBARI-14356,2602,67,36,0.8412229314634627
AMBARI-10528,2595,79,30,0.9785622337487855
AMBARI-15821,2569,31,18,0.6272686654250429
AMBARI-10576,2518,36,16,0.8833481938989204
AMBARI-2230,2512,36,23,0.8330458209023828
AMBARI-2231,2512,36,23,0.8330458209023828
AMBARI-17080,2505,13,7,0.8022881348245531
AMBARI-17192,2497,50,13,0.9755962288995099
AMBARI-18628,2490,7,6,0.5916727785823274
AMBARI-13753,2475,19,9,0.8886702459703582
AMBARI-19872,2441,38,18,0.9620871761502205
AMBARI-3670,2399,11,6,0.8950252083920531
AMBARI-22348,2385,63,27,0.9861892296026676
AMBARI-22953,2374,85,40,0.8323640349758583
AMBARI-10063,2366,22,8,0
AMBARI-21670,2317,37,16,0.9201176770909589
AMBARI-17480,2312,30,15,0.9673536660989729
AMBARI-21214,2297,45,12,0.9820064253709693
AMBARI-13609,2295,52,19,0.7045335422245409
AMBARI-16087,2283,6,5,0.9241205371495032
AMBARI-16086,2283,6,5,0.9241205371495032
AMBARI-6539,2249,16,9,0.9464119282150145
AMBARI-20050,2247,14,7,0.7818929362399059
AMBARI-21231,2230,28,18,0.649874464546419
AMBARI-4583,2226,61,29,0.9552777484270134
AMBARI-7400,2226,12,11,0.912557125893349
AMBARI-6046,2209,7,7,0.9072645882975401
AMBARI-11864,2205,86,22,0.9763888501163369
AMBARI-9285,2193,20,9,0.9509738598734441
AMBARI-9286,2193,20,9,0.9509738598734442
AMBARI-16980,2174,40,24,0.9388344902078316
AMBARI-22416,2173,41,20,0.9463946303571861
AMBARI-5575,2162,9,9,0.8385163862636628
AMBARI-1178,2136,24,12,0.9738495242771876
AMBARI-8863,2124,16,8,0.8191616764837448
AMBARI-2713,2122,3,3,0.9798687566511528
AMBARI-20048,2114,11,5,0.9602297178607611
AMBARI-14623,2104,4,4,0
AMBARI-19244,2103,16,5,0.9392054869651729
AMBARI-24811,2099,11,3,0
AMBARI-8433,2087,33,9,0.9363649184897272
AMBARI-4365,2054,28,16,0.9532897413875515
AMBARI-22095,2051,72,36,0.9572271858233162
AMBARI-16,2051,25,5,0.9559397224744716
AMBARI-12772,2030,24,8,0.8049133243537141
AMBARI-20589,2030,14,11,0.8280996181971241
AMBARI-7878,2018,78,18,0.9415593781188417
AMBARI-13431,1999,39,14,0.8317894458883578
AMBARI-10409,1996,28,4,0.8810489046910199
AMBARI-3604,1993,10,6,0.807518546387612
AMBARI-17501,1981,34,12,0.9311717047106411
AMBARI-24343,1958,36,13,0.9463946303571861
AMBARI-24147,1942,27,15,0.9374791276021698
AMBARI-22347,1883,21,14,1
AMBARI-19863,1880,17,15,0
AMBARI-3722,1866,11,8,0.8458339306244514
AMBARI-3017,1852,9,7,0
AMBARI-8437,1827,17,7,0.8283593091575023
AMBARI-12819,1816,12,12,0.8194177850812833
AMBARI-5896,1814,6,4,0.6695919455357793
AMBARI-16913,1806,22,14,0.8459266417227642
AMBARI-2451,1799,19,7,0.9056840755375565
AMBARI-5739,1783,9,3,1
AMBARI-21071,1768,24,7,0.9999999999999999
AMBARI-20043,1764,16,11,0.8592975083332074
AMBARI-24876,1762,40,22,0.9517961807358445
AMBARI-22454,1762,12,6,0.957742056202218
AMBARI-45,1732,33,5,0.7729987353457787
AMBARI-5543,1703,6,6,0.7182454452502114
AMBARI-21150,1701,23,13,0.6925698992278436
AMBARI-16177,1692,37,18,0.8006884714080914
AMBARI-1759,1674,7,7,0.7713182144163463
AMBARI-10348,1667,27,14,0.7907344904617517
AMBARI-9804,1644,25,9,0.9536406740928799
AMBARI-11737,1638,11,5,0.7616159658064257
AMBARI-7223,1636,8,4,0.9214211945896411
AMBARI-18779,1628,30,20,0
AMBARI-7791,1605,12,9,0.7133551275785782
AMBARI-20617,1588,20,20,0.9070987718886885
AMBARI-22842,1587,31,16,0
AMBARI-11958,1575,25,11,0.9567677901854776
AMBARI-4372,1575,12,4,0
AMBARI-22453,1565,11,10,0.9463946303571861
AMBARI-21769,1554,12,12,1
AMBARI-22418,1550,54,26,1
AMBARI-4687,1547,14,5,1
AMBARI-22904,1543,18,11,0
AMBARI-15132,1543,6,5,0.8527924884900405
AMBARI-20086,1510,26,15,0.920619835714305
AMBARI-6769,1506,14,13,0.8727124591385108
AMBARI-4153,1497,17,4,0
AMBARI-9005,1494,27,12,0.8767365377441602
AMBARI-18483,1489,12,10,0.9457264931652547
AMBARI-22792,1487,17,7,1
AMBARI-16072,1485,6,6,0.957266301240987
AMBARI-7734,1484,24,12,0.9195143997924309
AMBARI-4064,1476,22,9,0.8992634779459372
