Key,LOC,NOF,NOP,Entropy
SPARK-17620,207,4,4,0.7225530398075614
SPARK-9353,207,3,3,0.9544340029249649
SPARK-30528,207,6,4,0.34708922500367606
SPARK-23522,206,80,16,0.8843468221724792
SPARK-15285,206,3,3,0.5225593745369408
SPARK-8382,206,6,3,0.7416130984854556
SPARK-15583,206,6,4,0.9668041289841003
SPARK-17741,206,7,7,0.8517964960566271
SPARK-17733,205,5,5,0
SPARK-23486,205,6,6,0.6695919455357793
SPARK-9031,204,19,11,0.956304734197469
SPARK-18847,203,3,3,0
SPARK-19595,203,6,6,0.8806959775118035
SPARK-2864,203,3,3,1
SPARK-13254,203,7,4,0.8539845367750374
SPARK-39015,203,11,7,0.8547583095774008
SPARK-24368,203,10,5,0.8663534073222953
SPARK-19092,203,4,4,0.9216124027287591
SPARK-1522,201,3,3,0
SPARK-28163,201,8,3,0.948769510358905
SPARK-2341,200,9,6,0.5431146731162972
SPARK-13250,200,8,6,0.8843859919816576
SPARK-10639,200,7,6,0.956590017888608
SPARK-29188,200,3,3,0
SPARK-5681,200,6,4,0.805288621665821
SPARK-27094,199,3,2,0
SPARK-21617,199,5,5,0.9194324237704884
SPARK-15029,199,12,9,0.7629184487268167
SPARK-18076,199,32,26,0.9377097375926833
SPARK-33428,198,7,7,0.9122066329329885
SPARK-36892,198,4,4,1
SPARK-14349,198,6,6,0.8316977036318646
SPARK-19953,198,42,12,0.948447603744944
SPARK-6766,198,5,5,0.9463946303571861
SPARK-32003,198,3,3,0.8112781244591328
SPARK-17758,197,4,3,0
SPARK-14793,197,4,4,0.9056185178648962
SPARK-35798,196,36,12,0.8954571472146862
SPARK-28403,196,3,3,1
SPARK-15539,194,8,5,0.8166590000600078
SPARK-26265,194,4,4,0.9182958340544896
SPARK-19115,194,5,5,0.7306502730537435
SPARK-2147,194,5,4,0
SPARK-29971,193,5,4,0
SPARK-6851,193,6,6,0.8431218809875094
SPARK-26818,193,3,3,1
SPARK-8406,192,9,7,0.8649376386280369
SPARK-13602,192,3,3,0
SPARK-29014,192,13,8,0.8610962389574147
SPARK-31497,192,3,3,0
SPARK-32518,192,9,5,0.9892422967543257
SPARK-7749,191,5,4,0.925253458829687
SPARK-33739,191,3,3,0
SPARK-33680,191,9,7,0.8690746665964331
SPARK-34314,191,3,3,0
SPARK-25132,191,5,4,0.8387794678549645
SPARK-26870,190,5,4,0
SPARK-13320,190,5,5,0.9097112979360974
SPARK-4373,190,38,17,0.882963089945857
SPARK-13456,189,6,6,0.4758531747331359
SPARK-10741,189,16,11,0.900054494522202
SPARK-4951,189,4,4,0.9709505944546686
SPARK-13054,189,20,12,0.8812260923837963
SPARK-10090,188,7,6,0.8801147763079933
SPARK-17612,188,5,5,0.9390596495385384
SPARK-11544,188,3,3,0.9612366047228759
SPARK-14355,187,60,48,0.9100954644747747
SPARK-25498,187,7,5,0.9602297178607611
SPARK-18035,187,6,6,0.6500224216483541
SPARK-8501,187,5,3,0.8288713632524445
SPARK-22834,187,15,9,0.9486833272316151
SPARK-27548,186,6,6,0.8699155297736257
SPARK-23961,186,6,6,0.8699155297736257
SPARK-13049,186,5,4,0.876992274071747
SPARK-34558,186,6,5,0.9463946303571861
SPARK-6568,185,6,6,0.49131927809035475
SPARK-32160,184,9,9,0.8907478066406129
SPARK-35817,184,7,4,0
SPARK-3263,184,4,4,0
SPARK-27275,184,4,3,0
SPARK-32641,184,4,4,0.9713067383178074
SPARK-20831,184,13,10,0.9217874706207564
SPARK-9757,184,12,6,0.9077278876165966
SPARK-19318,184,16,15,0.8841981021308839
SPARK-24721,183,12,6,0.8843696150657969
SPARK-5484,183,17,14,1
SPARK-14962,182,7,4,0.8206275309798299
SPARK-31984,182,3,3,1
SPARK-29062,181,5,4,0.5770078865364
SPARK-11370,181,3,3,0
SPARK-2739,181,25,17,0.8411137281528529
SPARK-23775,180,2,2,0
SPARK-13053,180,3,2,0.9182958340544896
SPARK-7530,180,8,6,0.9223267211736103
SPARK-6560,180,13,11,0.7828949120071192
SPARK-17441,179,5,4,0.9746917888251707
SPARK-17440,179,5,4,0.9746917888251707
SPARK-17742,179,6,4,0.9609640474436811
SPARK-24500,179,6,6,0
SPARK-15391,179,14,12,0.9220873389371453
SPARK-32978,178,4,4,0
SPARK-34370,178,3,3,0.2974722489192896
SPARK-22289,178,6,6,0
SPARK-19721,178,12,5,0.8987931696745561
SPARK-27096,178,10,9,0.901480161284805
SPARK-8450,178,10,7,0.8120802049619358
SPARK-18403,178,3,3,0.7219280948873623
SPARK-36874,177,3,3,0
SPARK-19824,177,4,3,0
SPARK-17851,177,19,9,0.8354578189359816
SPARK-17910,176,5,4,0.9276848555981294
SPARK-36673,176,5,5,0
SPARK-16462,176,8,6,0.9561255325036924
SPARK-30298,176,8,5,0.8699155297736257
SPARK-29822,176,4,4,0.8175195311866703
SPARK-31521,176,3,3,0.9709505944546686
SPARK-36052,176,4,4,0.5816718657178866
SPARK-31935,176,20,17,0
SPARK-25522,176,6,5,0.8573919079970889
SPARK-10548,175,4,4,0.4394969869215134
SPARK-34871,175,6,4,0.9697238998682473
SPARK-2119,175,4,2,0.9463946303571861
SPARK-10563,175,4,4,0.4394969869215134
SPARK-19753,175,5,5,0.8129072918469558
SPARK-12559,174,4,3,0
SPARK-14664,173,4,4,0.2811937964320427
SPARK-27000,173,3,3,0.9182958340544896
SPARK-22825,173,5,5,0.9850568223215076
SPARK-3319,172,4,4,0.9755307720176265
SPARK-19774,172,4,4,0
SPARK-8578,172,3,3,0.9774178175281716
SPARK-13845,172,6,6,0.8096568334164151
SPARK-25474,172,6,6,0.6497417867474616
SPARK-5278,172,13,12,0.8778524466041515
SPARK-12732,171,3,3,0.9709505944546686
SPARK-9650,171,6,5,0.9256062819622212
SPARK-7873,171,4,3,0.9032139773855578
SPARK-28152,171,5,5,0.43578006121768476
SPARK-19617,171,9,5,0.8429078545765152
SPARK-13995,171,8,4,0.84055566168958
SPARK-10885,170,7,4,0.9463946303571861
SPARK-33591,170,16,12,0.7241653003881133
SPARK-5852,170,4,4,0.9507418158126735
SPARK-22384,170,4,4,1
SPARK-23626,169,4,3,0
SPARK-15618,169,29,20,0.8361852395969561
SPARK-14891,169,5,5,0.9746917888251707
SPARK-19583,169,4,4,0.8856194615204432
SPARK-39259,169,4,4,0
SPARK-11020,169,3,3,0
