Key,CommentCount,CommentLength,CommentPeopleCount
MESOS-8568,12,18164,4
MESOS-8583,1,0,1
MESOS-8585,12,4262,6
MESOS-8594,11,3414,4
MESOS-8602,1,17,1
MESOS-8608,7,1736,6
MESOS-8623,7,4305,4
MESOS-8624,4,5550,3
MESOS-8654,3,1379,2
MESOS-8703,3,763,3
MESOS-8724,7,2075,3
MESOS-8731,3,810,2
MESOS-8750,4,1373,3
MESOS-8778,1,155,1
MESOS-8782,2,530,2
MESOS-8783,2,917,2
MESOS-8784,2,313,2
MESOS-8803,1,0,1
MESOS-8839,5,3887,2
MESOS-8877,4,3612,1
MESOS-8927,2,189,2
MESOS-8946,4,1102,2
MESOS-8950,2,247,2
MESOS-8972,6,699,3
MESOS-8987,9,4054,5
MESOS-9024,7,2040,3
MESOS-9025,5,1454,4
MESOS-9049,1,807,1
MESOS-9109,5,835,3
MESOS-9116,10,7873,4
MESOS-9137,2,1724,1
MESOS-9151,5,1369,3
MESOS-9171,2,848,2
MESOS-9174,3,4647,2
MESOS-9191,4,1053,3
MESOS-9227,2,1743,2
MESOS-9232,2,479,2
MESOS-9247,2,109,2
MESOS-9279,3,677,2
MESOS-9281,3,1801,1
MESOS-9283,8,2741,2
MESOS-9306,4,3562,2
MESOS-9355,1,0,1
MESOS-9395,2,1693,1
MESOS-9398,6,3757,2
MESOS-9460,5,1644,1
MESOS-9462,5,2439,3
MESOS-9507,5,5362,5
MESOS-9508,4,1345,2
MESOS-9514,2,1042,2
MESOS-9517,3,3908,1
MESOS-9520,1,94,1
MESOS-9524,1,497,1
MESOS-9529,3,2253,1
MESOS-9536,5,6990,2
MESOS-9537,2,1187,1
MESOS-9542,3,8722,2
MESOS-9549,4,2450,2
MESOS-9555,18,7207,3
MESOS-9560,7,4271,2
MESOS-9564,4,2563,3
MESOS-9579,1,2009,1
MESOS-9609,11,7792,3
MESOS-9610,6,1487,3
MESOS-9616,3,1854,1
MESOS-9619,14,12944,4
MESOS-9635,4,1068,2
MESOS-9654,1,192,1
MESOS-9672,4,433,2
MESOS-9697,6,4083,3
MESOS-9711,4,1182,2
MESOS-9712,3,1046,2
MESOS-973,9,8002,4
MESOS-9730,4,1877,3
MESOS-9782,2,612,1
MESOS-9786,2,375,1
MESOS-9870,3,732,2
MESOS-9875,7,7110,2
MESOS-9887,4,2253,1
MESOS-9889,3,938,1
MESOS-9899,1,0,1
MESOS-9935,3,758,2
MESOS-9937,5,919,3
MESOS-9966,9,2980,2
MESOS-9967,1,0,1
MESOS-9971,6,2018,3
