Key,CommentCount,CommentLength,CommentPeopleCount
MESOS-1328,1,0,1
MESOS-1329,2,345,1
MESOS-1331,1,260,1
MESOS-1333,4,1098,2
MESOS-1336,1,57,1
MESOS-1337,5,1059,1
MESOS-1338,4,1976,1
MESOS-1341,3,633,1
MESOS-1347,5,67597,4
MESOS-1348,3,42200,2
MESOS-1351,2,214,2
MESOS-1352,2,111,2
MESOS-1353,2,522,2
MESOS-1354,5,699,2
MESOS-1355,1,58,1
MESOS-1356,3,258,2
MESOS-1359,7,1819,2
MESOS-136,3,495,2
MESOS-1361,2,514,2
MESOS-1362,1,260,1
MESOS-1363,1,0,1
MESOS-1364,4,1708,1
MESOS-1365,6,6974,3
MESOS-1368,2,283,1
MESOS-1369,1,18,1
MESOS-137,1,144,1
MESOS-1370,3,753,1
MESOS-1372,2,258,1
MESOS-1376,1,701,1
MESOS-1378,1,0,1
MESOS-138,1,125,1
MESOS-1385,4,1070,2
MESOS-1388,3,953,1
MESOS-1389,2,1877,1
MESOS-139,1,90,1
MESOS-1392,5,605,2
MESOS-14,2,191,1
MESOS-1400,2,326,1
MESOS-1401,1,200,1
MESOS-1402,4,371,3
MESOS-1403,1,17,1
MESOS-1404,8,1222,3
MESOS-1406,1,237,1
MESOS-1408,1,828,1
MESOS-141,1,261,1
MESOS-1412,2,268,2
MESOS-1413,3,472,2
MESOS-1414,1,484,1
MESOS-1415,2,613,2
MESOS-1416,3,402,3
MESOS-1417,2,375,1
MESOS-1418,2,294,1
MESOS-1419,2,259,1
MESOS-1420,1,1070,1
MESOS-1422,2,312,2
MESOS-1423,1,0,1
MESOS-1425,2,74,2
MESOS-1427,6,925,3
MESOS-1428,1,185,1
MESOS-1429,1,0,1
MESOS-1430,1,0,1
MESOS-1431,7,1379,2
MESOS-1432,2,1836,2
MESOS-1433,1,34,1
MESOS-1434,2,80,1
MESOS-1435,2,285335,2
MESOS-1436,7,1187,2
MESOS-1437,6,1473,3
MESOS-1438,1,259,1
MESOS-1439,2,268,2
MESOS-1440,1,0,1
MESOS-1441,1,44,1
MESOS-1442,1,44,1
MESOS-1448,5,2785,4
MESOS-1449,3,557,1
MESOS-145,2,1792,1
MESOS-1454,3,451,2
MESOS-1455,2,273,1
MESOS-1456,6,2411,4
MESOS-1459,3,299,2
MESOS-1460,4,35740,2
MESOS-1463,2,251,1
MESOS-1464,1,0,1
MESOS-1466,4,4682,3
MESOS-1467,2,452,2
MESOS-1468,3,511,3
MESOS-1469,5,1534,2
MESOS-147,1,70,1
MESOS-1472,2,294,1
MESOS-1473,2,258,2
MESOS-1477,2,315,1
MESOS-1479,2,294,1
MESOS-148,17,22092,6
MESOS-1481,1,0,1
MESOS-1482,2,834,2
MESOS-1483,2,184,2
MESOS-1485,2,118,2
MESOS-1487,4,1220,1
MESOS-1488,2,294,1
MESOS-1490,2,320,2
MESOS-1492,2,325,1
MESOS-1494,1,0,1
MESOS-1495,2,296,2
MESOS-1496,1,39,1
MESOS-1497,3,438,3
MESOS-15,3,206,2
MESOS-1500,4,497,1
MESOS-1504,3,561,2
MESOS-151,1,0,1
MESOS-1512,3,449,2
MESOS-1513,2,285,1
MESOS-1514,1,35,1
MESOS-1515,2,302,1
MESOS-1516,3,721,2
MESOS-152,4,456,2
MESOS-1520,1,145,1
MESOS-1521,14,2204,5
MESOS-1522,8,1702,3
MESOS-1526,1,181,1
MESOS-1529,12,12328,4
MESOS-153,8,4178,3
MESOS-1531,1,0,1
MESOS-1532,2,295,1
MESOS-1533,8,1994,5
MESOS-1534,1,498,1
MESOS-1535,3,426,3
MESOS-1536,5,889,1
MESOS-1538,2,294,1
MESOS-1540,3,415,3
MESOS-1541,5,63037,3
MESOS-1542,1,169,1
MESOS-1543,13,4305,4
MESOS-1544,2,270,1
MESOS-1545,1,0,1
MESOS-1548,1,57,1
MESOS-1549,2,262,1
MESOS-1550,6,1339,4
MESOS-1551,1,223,1
MESOS-1553,1,60,1
MESOS-1555,2,367,1
MESOS-1558,1,35,1
MESOS-1560,1,669,1
MESOS-1562,1,0,1
MESOS-1563,26,6792,7
MESOS-1564,1,0,1
MESOS-157,2,1722,1
MESOS-1572,1,109,1
MESOS-1573,2,362,2
MESOS-1575,20,6265,7
MESOS-1577,1,0,1
MESOS-1578,4,829,2
MESOS-159,1,0,1
MESOS-1594,2,46812,2
MESOS-16,1,61,1
MESOS-160,1,0,1
MESOS-1602,1,0,1
MESOS-1603,2,270,1
MESOS-1604,3,344,2
MESOS-1606,1,52,1
MESOS-1609,1,41,1
MESOS-1610,2,522,1
MESOS-1611,1,47,1
MESOS-1612,1,0,1
MESOS-1613,17,43142,3
MESOS-1614,1,0,1
MESOS-1617,1,48,1
MESOS-1619,5,1575,2
MESOS-162,1,84,1
MESOS-1624,4,447,2
MESOS-1627,2,276,1
MESOS-1628,2,508,1
MESOS-1629,2,281,1
MESOS-163,3,950,3
MESOS-1630,14,5605,3
MESOS-1631,1,0,1
MESOS-1632,7,1220,3
MESOS-1633,5,1109,3
MESOS-1634,1,35,1
MESOS-1635,5,1063,2
MESOS-1639,2,248,1
MESOS-164,3,1909,2
MESOS-1640,2,455,2
MESOS-1641,1,32,1
MESOS-1646,1,0,1
MESOS-1647,5,4737,4
MESOS-1649,1,35,1
MESOS-165,12,9397,3
MESOS-1653,11,32812,7
MESOS-1655,2,588,1
MESOS-1658,1,34,1
MESOS-166,1,30,1
MESOS-1662,12,1880,5
MESOS-1663,1,0,1
MESOS-1665,1,77,1
MESOS-1668,4,903,2
MESOS-1670,5,752,3
MESOS-1673,1,35,1
MESOS-1675,15,1812,4
MESOS-1676,2,1029,1
MESOS-1677,1,35,1
MESOS-1679,1,0,1
MESOS-168,2,173,2
MESOS-1680,1,0,1
MESOS-1681,1,0,1
MESOS-1682,1,0,1
MESOS-1685,1,41,1
MESOS-1686,1,0,1
MESOS-1687,1,56,1
MESOS-1688,12,4222,7
MESOS-1689,1,237,1
MESOS-1690,2,560,1
MESOS-1692,6,624,3
MESOS-1693,1,316,1
MESOS-1695,1,182,1
MESOS-1696,2,942,1
MESOS-1698,3,138,1
MESOS-1699,1,98,1
MESOS-17,1,68,1
MESOS-1700,2,280,1
MESOS-1701,1,0,1
MESOS-1703,4,382,2
MESOS-1704,1,0,1
MESOS-1705,6,2514,2
MESOS-1707,2,121,2
MESOS-1708,4,972,2
MESOS-1709,2,224,2
MESOS-1710,1,35,1
MESOS-1712,6,1512,3
MESOS-1713,1,35,1
MESOS-1714,2,181,1
MESOS-1715,3,1078,1
MESOS-1716,3,596,2
MESOS-1717,1,120,1
MESOS-172,3,1666,2
MESOS-1720,3,5662,2
MESOS-1721,1,0,1
MESOS-1722,1,241,1
MESOS-1724,7,1045,4
MESOS-1725,3,667,2
MESOS-1726,2,463,2
MESOS-1727,11,2152,5
MESOS-1729,25,16052,8
MESOS-173,1,0,1
MESOS-1730,1,245,1
MESOS-1732,2,290,1
MESOS-1735,5,925,5
MESOS-1736,5,1328,3
MESOS-1737,8,11650,4
MESOS-1738,1,0,1
MESOS-1740,3,1118,2
MESOS-1741,5,668,2
MESOS-1743,1,0,1
MESOS-1745,2,314,2
MESOS-1746,7,1316,3
MESOS-1747,4,1414,2
MESOS-1748,2,289,1
MESOS-1749,1,35,1
MESOS-175,2,958,2
MESOS-1750,7,2737,2
MESOS-1751,3,357,1
MESOS-1754,7,13278,4
MESOS-1755,2,557,2
MESOS-1758,4,648,3
MESOS-176,1,98,1
MESOS-1760,4,394,2
MESOS-1761,4,908,2
MESOS-1764,4,711,1
MESOS-1766,4,576,2
MESOS-1767,1,0,1
MESOS-1769,2,428,2
MESOS-1774,4,570,2
MESOS-1775,1,154,1
MESOS-1776,14,2820,6
MESOS-178,5,4960,1
MESOS-1780,1,0,1
MESOS-1781,2,97,2
MESOS-1782,2,262,1
MESOS-1783,5,906,3
MESOS-1785,1,165,1
MESOS-1786,2,300,1
MESOS-1789,1,162,1
MESOS-1795,9,2490,7
MESOS-1799,3,3957,1
MESOS-18,2,179,1
MESOS-1800,1,0,1
MESOS-1801,2,414,2
MESOS-1803,1,1419,1
MESOS-1804,5,2557,3
MESOS-1809,3,359,1
MESOS-1812,10,2639,5
MESOS-1814,3,769,1
MESOS-1817,4,1762,2
MESOS-1818,1,250,1
MESOS-1819,1,0,1
MESOS-1822,1,0,1
MESOS-1823,1,443,1
MESOS-1824,1,0,1
MESOS-1825,2,550,2
MESOS-1827,2,441,2
MESOS-1833,5,497,2
MESOS-1834,2,315,2
MESOS-1835,7,1525,4
MESOS-1837,29,65399,12
MESOS-1839,1,35,1
MESOS-1842,2,123,2
MESOS-1843,3,575,2
MESOS-1844,2,256,1
MESOS-1845,3,383,3
MESOS-1847,1,1857,1
MESOS-1848,5,6089,3
MESOS-1849,6,490,5
MESOS-1850,1,62,1
MESOS-1852,2,165,2
MESOS-1853,2,652,2
MESOS-1854,3,307,1
MESOS-1855,3,1015,3
MESOS-1857,6,1129,3
MESOS-1858,3,289,2
MESOS-1859,4,415,2
MESOS-1862,2,549,1
MESOS-1865,20,6411,7
MESOS-1866,4,604,1
MESOS-1867,2,396,1
MESOS-1868,4,174,3
MESOS-1869,2,315,1
MESOS-187,2,81,1
MESOS-1870,2,1188,1
MESOS-1873,2,359,1
MESOS-1875,2,527,2
MESOS-1877,1,0,1
MESOS-1878,9,2099,4
MESOS-1879,1,0,1
MESOS-188,5,5336,1
MESOS-1881,2,301,1
MESOS-1883,1,185,1
MESOS-1884,2,249,2
MESOS-1885,1,288,1
MESOS-1890,1,38,1
MESOS-1892,8,983,3
MESOS-1897,1,0,1
MESOS-1898,4,689,3
MESOS-190,5,7597,1
MESOS-1901,2,277,1
MESOS-1906,1,318,1
MESOS-1907,1,0,1
MESOS-1915,4,438,2
MESOS-192,1,97,1
MESOS-1922,2,357,1
MESOS-1924,1,0,1
MESOS-1934,3,542,3
MESOS-1936,1,0,1
MESOS-1942,6,3756,2
MESOS-1945,3,735,2
MESOS-1946,1,0,1
MESOS-1948,3,588,2
MESOS-195,2,107,2
MESOS-196,2,235,1
MESOS-1967,4,1345,2
